
# time  N22        N23        
    0.        629.4861n  629.4852n 
    6.73000p  699.7748m    4.7416m 
    6.74000p  699.7765m    4.7159m 
    6.75000p  699.7781m    4.6903m 
    6.76000p  699.7797m    4.6646m 
    6.77000p  699.7814m    4.6389m 
    6.78000p  699.7830m    4.6132m 
    6.79000p  699.7846m    4.5875m 
    6.80000p  699.7862m    4.5618m 
    6.81000p  699.7879m    4.5361m 
    6.82000p  699.7895m    4.5104m 
    6.83000p  699.7911m    4.4847m 
    6.84000p  699.7927m    4.4590m 
    6.85000p  699.7944m    4.4334m 
    6.86000p  699.7960m    4.4077m 
    6.87000p  699.7976m    4.3820m 
    6.88000p  699.7993m    4.3563m 
    6.89000p  699.8009m    4.3306m 
    6.90000p  699.8025m    4.3049m 
